affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_f1_date,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,sponsor_candidate_ids,sponsor_candidate_list,state,treasurer_name
NONE,[],C00820605,O,Super PAC (Independent Expenditure-Only),[2022],U,Unauthorized,T,2022-07-14,2022-07-14,2022-07-14,2022-12-21,1776 LIBERTY PAC,,,,,,[],DC,"PHILLIPS, JUSTIN"
NONE,[],C00463232,N,PAC - Nonqualified,"[2010, 2012, 2014]",U,Unauthorized,T,2009-06-11,2009-06-11,2009-06-11,2014-06-25,1776 POLITICAL ACTION COMMITTEE (1776 PAC) 1776 CHALLENGE,,,,,,[],TX,JASON B HALSTEAD
NONE,['P40014649'],C00847038,P,Presidential,[2024],P,Principal campaign committee,Q,2023-07-31,2023-07-31,2023-07-31,2023-07-31,1776 R. LANCASTER FOR PRESIDENT,,,REP,REPUBLICAN PARTY,,[],CO,"LANCASTER, MAX THOMAS"
NONE,[],C00814806,O,Super PAC (Independent Expenditure-Only),"[2022, 2024]",U,Unauthorized,Q,2022-05-09,2022-05-09,2024-09-05,2024-09-05,1787 FUND,,,,,,[],AL,"HOBBS, CABELL"
,[],C00540963,N,PAC - Nonqualified,"[2014, 2016]",U,Unauthorized,T,2013-01-24,2013-01-24,2013-03-11,2015-09-09,1787 NATIONAL COMMITTEE INC,,,,,,[],NY,EMILY MATHEWS
NONE,[],C00818278,O,Super PAC (Independent Expenditure-Only),[2022],U,Unauthorized,T,2022-06-15,2022-06-15,2022-06-15,2022-08-05,1788 PAC,,,,,,[],WI,"DATWYLER, THOMAS"
,[],C00487132,N,PAC - Nonqualified,"[2010, 2012]",U,Unauthorized,T,2010-08-06,2010-08-06,2010-10-04,2012-11-14,1789 PROJECT POLITICAL ACTION COMMITTEE,,,,,,[],VA,"LAROCK, DAVID"
,[],C00092353,X,Party - Nonqualified,"[1978, 1980, 1982]",U,Unauthorized,A,,1982-02-22,,1982-02-22,17TH CONGRESSIONAL CAMPAIGN COMMITTEE - N.Y.,,,UNK,UNKNOWN,,[],NY,B. HOWARD JANGER
,['P40000267'],C00176925,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-13,1984-02-13,1984-02-13,1985-02-07,17TH DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],IL,DONNA M MCWILLIAMS
,['P40000267'],C00181156,D,Delegate Committee,[1984],U,Unauthorized,T,1984-04-05,1984-04-05,1984-04-05,1985-02-07,17TH DISTRICT MONDALE DELEGATE COMMITTEE,,,,,,[],OH,JEFFERY GEORGE
BLANK,[],C00337931,X,Party - Nonqualified,"[1998, 2000, 2002, 2004, 2006]",U,Unauthorized,T,1998-06-16,1998-06-16,2004-03-29,2005-08-10,17TH DISTRICT VICTORY FUND,,,DEM,DEMOCRATIC PARTY,,[],IL,CHRISTOPHER HANCE
MICHIGAN DEMOCRATIC PARTY,[],C00261511,Y,Party - Qualified,[1992],U,Unauthorized,T,1992-03-02,1992-03-02,1992-03-02,1993-04-16,17TH DISTRICT YOUNG DEMOCRATIC PARTY,,,DEM,DEMOCRATIC PARTY,,[],MI,MELANIE RANA BROWN
"1-800 CONTACTS, INC.",[],C00621912,Q,PAC - Qualified,"[2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,2016-07-19,2016-07-19,2016-07-19,2024-07-15,"1-800 CONTACTS, INC. PAC",C,Corporation,,,,[],UT,"GAPPMAYER, BRETT REED"
NONE,[],C00855148,O,Super PAC (Independent Expenditure-Only),[2024],U,Unauthorized,Q,2023-10-30,2023-10-30,2023-10-30,2024-07-13,1803 PAC,,,,,,[],VA,"MCINTYRE, DUSTIN"
NONE,[],C00492827,N,PAC - Nonqualified,"[2012, 2014, 2016, 2018]",U,Unauthorized,A,2011-02-03,2011-02-03,2011-08-02,2017-04-05,1816 GROUP; THE,,,,,,[],IN,RYAN M SCHULZ
NONE,[],C00818138,O,Super PAC (Independent Expenditure-Only),"[2022, 2024]",U,Unauthorized,Q,2022-06-14,2022-06-14,2022-06-14,2024-07-07,1818 PAC,,,,,,[],TX,"WILLIAMSON, LES"
NONE,[],C00698126,O,Super PAC (Independent Expenditure-Only),"[2020, 2022, 2024]",U,Unauthorized,Q,2019-03-01,2019-03-01,2021-02-09,2024-07-03,1820 PAC,,,,,,[],WI,"DATWYLER, THOMAS C."
NONE,[],C00523001,O,Super PAC (Independent Expenditure-Only),"[2012, 2014, 2016]",U,Unauthorized,T,2012-06-12,2012-06-12,2015-02-07,2016-02-08,18-24,,,,,,[],MD,SUSAN E GROGRAN
,[],C00555524,O,Super PAC (Independent Expenditure-Only),"[2014, 2016, 2018]",U,Unauthorized,T,2014-01-27,2014-01-27,2014-02-19,2018-04-12,18-29 PAC,,,,,,[],OH,MELISSA MCNULTY
NONE,[],C00884494,O,Super PAC (Independent Expenditure-Only),[2024],U,Unauthorized,Q,2024-07-25,2024-07-25,2024-07-25,2024-07-25,1837 PAC,,,,,,[],DE,"BOLES, JASON D"
GROTHMAN,[],C00628669,N,PAC - Nonqualified,"[2016, 2018, 2020, 2022, 2024]",D,Leadership PAC,Q,2016-11-10,2016-11-10,2021-07-15,2024-08-01,1848 PAC,,,,,['H4WI06048'],"[{'sponsor_candidate_id': 'H4WI06048', 'sponsor_candidate_name': 'GROTHMAN, GLENN S.'}]",WI,"RUHLAND, LANE"
NONE,[],C00185942,N,PAC - Nonqualified,"[1984, 1986, 1988]",U,Unauthorized,T,1984-06-11,1984-06-11,1985-09-03,1988-06-10,1854 FUND OF THE FOND DU LAC BAND OF LAKE SUPERIOR CHIPPEWA,,,,,,[],MN,"PETER J. DEFOE, JR."
NONE,[],C00837849,V,Hybrid PAC (with Non-Contribution Account) - Nonqualified,[2024],U,Unauthorized,Q,2023-04-14,2023-04-14,2023-04-14,2024-07-15,1859 PAC,,,,,,[],MA,"YOUNG, JASON MR."
NONE,[],C00842203,V,Hybrid PAC (with Non-Contribution Account) - Nonqualified,[2024],U,Unauthorized,Q,2023-06-06,2023-06-06,2024-06-25,2024-07-01,1863 PAC INC,,,,,,[],VA,"MARSTON, CHRIS"
1865 COLLECTIVE,[],C00782987,N,PAC - Nonqualified,"[2020, 2022, 2024]",U,Unauthorized,A,2021-06-28,2021-06-28,2021-08-10,2023-03-24,1865 COLLECTIVE PAC,M,Membership Organization,,,,[],CA,"ALLEN, JEFFERY KEITH JR"
NONE,[],C00778910,V,Hybrid PAC (with Non-Contribution Account) - Nonqualified,"[2022, 2024]",U,Unauthorized,A,2021-05-06,2021-05-06,2022-07-08,2023-11-15,1865 FEDERAL,,,,,,[],AZ,"BAKKE, ADRIAN"
NONE,[],C00617811,O,Super PAC (Independent Expenditure-Only),"[2016, 2018]",U,Unauthorized,A,2016-05-19,2016-05-19,2016-05-19,2018-04-06,1865 PAC,,,,,,[],IL,"JACKSON, RUFUS"
NONE,[],C00847855,X,Party - Nonqualified,[2024],U,Unauthorized,A,2023-08-10,2023-08-10,2023-08-10,2024-08-22,1874 GEORGINA THOMAS ORDER OF THE EASTERN STAR,,,PAC,,,[],TN,"JENNINGS, MISS TONYA MICHELLE"
NONE,[],C00881482,O,Super PAC (Independent Expenditure-Only),[2024],U,Unauthorized,Q,2024-06-18,2024-06-18,2024-06-18,2024-08-07,1889 PAC,,,,,,[],TX,"WILLIAMSON, LES"
HAGEMAN VICTORY FUND,[],C00799809,N,PAC - Nonqualified,"[2022, 2024]",D,Leadership PAC,M,2022-01-07,2022-01-07,2022-09-13,2024-08-20,1890 PAC,,,,,['H2WY00166'],"[{'sponsor_candidate_id': 'H2WY00166', 'sponsor_candidate_name': 'HAGEMAN, HARRIET'}]",WY,"YOUNG, JASON MR."
,['P60000247'],C88000955,D,Delegate Committee,"[1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1980-02-25,1980-02-25,1980-02-25,1995-03-21,18TH CONGRESSIONAL DISTRICT CARTER/MONDALE DELEGATE COMMITTEE,,,,,,[],IL,LYNN SCOTT PEARSON
NONE,[],C00005215,Y,Party - Qualified,"[1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992]",U,Unauthorized,T,1977-02-28,1976-07-09,1983-07-08,1993-08-27,18TH DISTRICT DEMOCRATIC COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],MI,CICELY BROOKOVER
ILLINOIS REPUBLICAN PARTY,[],C00493460,Y,Party - Qualified,"[2012, 2014, 2016]",U,Unauthorized,T,2011-02-25,2011-02-25,2012-02-06,2017-01-19,18TH DISTRICT REPUBLICAN CENTRAL COMMIITTEE (FEDERAL ACCOUNT),,,REP,REPUBLICAN PARTY,,[],IL,PAUL KILGORE
POLICE; FRATERNAL ORDER OF,[],C00135111,N,PAC - Nonqualified,[1980],U,Unauthorized,T,1980-09-05,1980-09-05,1980-09-05,1981-01-30,1900 CLUB,L,Labor Organization,,,,[],OH,JOHN H TOBERTGE
NONE,[],C00835447,O,Super PAC (Independent Expenditure-Only),[2024],U,Unauthorized,Q,2023-03-15,2023-03-15,2023-03-15,2024-07-13,1907 PAC,,,,,,[],VA,"MCINTYRE, DUSTIN"
NONE,[],C00508200,O,Super PAC (Independent Expenditure-Only),"[2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,2011-12-22,2011-12-22,2012-01-03,2024-07-15,1911 UNITED,,,,,,[],DC,"SKINNER, SINCLAIR"
NONE,[],C00823138,O,Super PAC (Independent Expenditure-Only),"[2022, 2024]",U,Unauthorized,T,2022-08-17,2022-08-17,2022-08-17,2023-02-01,1912 PAC,,,,,,[],VA,"MCINTYRE, DUSTIN"
NONE,[],C00712810,N,PAC - Nonqualified,"[2020, 2022]",U,Unauthorized,A,2019-07-18,2019-07-18,2019-07-18,2021-02-01,1958 PAC,,,,,,[],TX,"LEWIS ARMSTRONG, WENDY L. MRS."
NONE,[],C00885400,O,Super PAC (Independent Expenditure-Only),[2024],U,Unauthorized,Q,2024-08-05,2024-08-05,2024-08-05,2024-08-15,1959 PAC,,,,,,[],TX,"WILLIAMSON, LES"
,['P20000030'],C00032052,P,Presidential,"[1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996]",A,Authorized by a candidate,A,1976-07-10,1975-03-12,1988-01-19,1995-03-09,1972 CAMPAIGN LIQUIDATION TRUST (NIXON 1972 COMMITTEE),,,,,,[],VA,PAUL E. BARRICK
,['H6VA09011'],C00014803,H,House,"[1976, 1978, 1980, 1982]",A,Authorized by a candidate,A,1978-08-04,1976-10-06,1978-08-04,1981-12-03,1974 HORNE FOR CONGRESS COMMITTEE,,,,,,[],VA,"MS EDITH G BROWN, TREAS"
,['P60000247'],C00111245,P,Presidential,"[1980, 1982, 1984]",A,Authorized by a candidate,T,1979-07-10,1979-07-10,1982-10-01,1982-10-01,"1976 DEMOCRATIC PRESIDENTIAL CAMPAIGN COMMITTEE,INC (COMPLIANCE FUND)",,,,,,[],GA,ROBERT J LIPSHUTZ
,['P60000247'],C00048587,P,Presidential,"[1976, 1978, 1980, 1982]",A,Authorized by a candidate,T,1976-07-20,1976-07-20,1977-03-29,1981-04-28,"1976 DEMOCRATIC PRESIDENTIAL CAMPAIGN COMMITTEE, INC. (PCC-1976 GENERAL ELECTION)",,,DEM,DEMOCRATIC PARTY,,[],GA,ROBERT J. LIPSHUTZ
,['H6IA03086'],C00050724,H,House,"[1976, 1978, 1980, 1982]",P,Principal campaign committee,A,1976-07-06,1976-07-06,1976-07-06,1981-11-04,1976 RAPP FOR CONGRESS COMMITTEE,,,,,,[],IA,WILLIAM H. GILLIAM
,"['H6CO01109', 'S8CO00065']",C00066050,S,Senate,"[1976, 1978, 1980]",P,Principal campaign committee,T,1976-09-21,1976-09-21,1978-11-07,1979-04-18,1976 UNITED STATES PARTY ELECTION COMM.,,,UNK,UNKNOWN,,[],CO,VEEDER VAN DORN
,['H6GA10027'],C00097766,H,House,"[1978, 1980, 1982, 1984]",A,Authorized by a candidate,T,1978-04-14,1978-04-08,1978-07-19,1979-09-24,1978 BARNARD FOR CONGRESS CMTE FOR D.D. BARNARD JR.,,,DEM,DEMOCRATIC PARTY,,[],GA,NANCY J. MCJUNKIN
"RNC, NRCC, NRSC",[],C00088476,Y,Party - Qualified,"[1978, 1980]",U,Unauthorized,T,1978-03-07,1978-03-07,1978-07-17,1980-09-10,1978 EISENHOWER SILVER JUBILEE DINNER,,,REP,REPUBLICAN PARTY,,[],DC,WILLIAM J. MCMANUS
KANAWHA COUNTY REPUBLICAN EXEC PARTY,[],C00098632,X,Party - Nonqualified,"[1978, 1980]",U,Unauthorized,T,1978-06-28,1978-06-28,1978-07-27,1980-07-18,1978 GOLDEN OPPORTUNITY PARTY,,,REP,REPUBLICAN PARTY,,[],WV,"WALTER J. PRICE, III"
INDEPENDENT VOTERS OF ILLINOIS,[],C00104372,N,PAC - Nonqualified,"[1978, 1980, 1982]",U,Unauthorized,T,1978-09-25,1978-09-25,1978-09-25,1980-07-22,1978 INDEPENDENT FEDERAL CAMPAIGN COMMITTEE,M,Membership Organization,,,,[],IL,STEPHEN B. RUBIN
,[],C00097477,X,Party - Nonqualified,"[1978, 1980]",U,Unauthorized,T,1978-06-14,1978-06-14,1979-01-24,1979-04-04,1978 MASSACHUSETTS SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,,[],MA,MICHAEL PEARLMAN
,[],C00102814,Y,Party - Qualified,"[1978, 1980]",U,Unauthorized,T,1978-09-08,1978-09-08,1979-02-01,1980-01-31,1978 NATIONAL PARTY CONFERENCE ARRANGEMENTS COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],DC,G. E. NICHOLSON
,[],C00105700,X,Party - Nonqualified,"[1978, 1980, 1982]",U,Unauthorized,T,1978-11-13,1978-11-13,1978-11-13,1981-02-11,1978 NEW JERSEY SOCIALIST WORKERS CAMPAIGN CMTE.,,,SWP,SOCIALIST WORKERS PARTY,,[],NJ,JONATHAN F. ERWAY
,['H6NJ08035'],C00082628,H,House,"[1978, 1980]",A,Authorized by a candidate,T,1977-10-21,1977-10-21,1978-03-24,1979-04-09,1978 RE-ELECT ROE TO CONGRESS COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],NJ,RONALD BRESLOW
,[],C00103101,Y,Party - Qualified,"[1978, 1980, 1982]",U,Unauthorized,T,1978-09-11,1978-09-11,1978-09-22,1981-02-27,1978 VIRGINIA DEMOCRATIC CAMPAIGN COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],VA,JAMES S. CREMINS
DEM. CENTRAL CMTE. OF ST. LOUIS,[],C00103721,X,Party - Nonqualified,"[1978, 1980]",U,Unauthorized,T,1978-09-21,1978-09-21,1978-10-23,1980-01-21,1979 DEMOCRATIC CAMPAIGN COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],MO,JOSEPH P. RODDY
,[],C00107276,Y,Party - Qualified,[1980],J,Joint fundraising committee,T,1979-01-19,1979-01-19,1979-01-19,1980-03-06,1979 REPUBLICAN SENATE-HOUSE DINNER,,,REP,REPUBLICAN PARTY,,[],DC,RODNEY A. SMITH
ALLEGHENY COUNTY DEMOCRATIC COMMITTEE,[],C00139246,X,Party - Nonqualified,"[1980, 1982, 1984]",U,Unauthorized,T,1980-12-19,1980-12-19,1982-01-28,1984-04-05,1980 ALLEGHENY COUNTY DEMOCRATIC CAMPAIGN COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],PA,FREDERICK NEWMAN FRANK
NONE,[],C00096677,X,Party - Nonqualified,"[1978, 1980, 1982]",U,Unauthorized,A,1978-06-05,1978-06-05,1979-08-13,1982-02-22,1980 CLUB,,,DEM,DEMOCRATIC PARTY,,[],GA,SARAH M. STEVENS
,['H8MA05093'],C00129312,H,House,"[1980, 1982, 1984]",P,Principal campaign committee,T,1980-05-27,1980-05-27,1980-05-27,1983-08-17,1980 COMMITTEE TO ELECT BOB HATEM TO CONGRESS,,,,,,[],MA,FRANK MCDOUGALL
,['H8NY18076'],C00112375,H,House,"[1980, 1982]",A,Authorized by a candidate,T,1979-08-09,1979-08-09,1982-12-28,1983-01-05,1980 COMMITTEE TO RE-ELECT CONGRESSMAN BILL GREEN,,,,,,[],NY,FRANKLIN R WEISSBERG
,[],C88001128,D,Delegate Committee,[1980],U,Unauthorized,T,1980-04-03,1980-04-03,1980-08-25,1980-08-25,1980 DELEGATE COMMITTEE (FOR REAGAN),,,,,,[],NY,JACK R MURATORI
,[],C00138982,X,Party - Nonqualified,"[1980, 1982, 1984]",U,Unauthorized,T,1980-10-06,1980-10-06,1980-10-06,1983-07-22,1980 DEMOCRATIC CAMPAIGN CMTE,,,DEM,DEMOCRATIC PARTY,,[],MO,JOSEPH P RODDY
DNC SERVICES CORPORATION,[],C00112219,Y,Party - Qualified,"[1980, 1982]",U,Unauthorized,T,1979-08-06,1979-08-06,1979-08-06,1982-06-10,1980 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC,,,DEM,DEMOCRATIC PARTY,,[],DC,PETER G KELLY
,[],C00136291,Y,Party - Qualified,"[1980, 1982]",U,Unauthorized,T,1980-09-26,1980-09-26,1980-11-25,1981-07-13,1980 DEMOCRATIC PARTY OF VA CAMPAIGN COMM STATE/FEDERAL ACCOUNT,,,DEM,DEMOCRATIC PARTY,,[],VA,JAMES S CREMINS
,[],C00118190,X,Party - Nonqualified,[1980],U,Unauthorized,T,1979-12-26,1979-12-26,1979-12-26,1981-01-28,1980 EAST BAY SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,,[],CA,ALLIN TAPLIN
NONE,[],C00109348,N,PAC - Nonqualified,"[1980, 1982, 1984, 1986, 1988, 1990, 1992]",U,Unauthorized,T,1979-04-25,1979-04-25,1983-09-27,1991-12-16,1980 ELECTION COMMITTEE (FOR MARYLAND CONSERVATIVE REPUBLICANS),M,Membership Organization,REP,REPUBLICAN PARTY,,[],MD,DAVID E MOUL
VOTERS OF ILLINOIS INDEPENDENT,[],C00128819,N,PAC - Nonqualified,"[1980, 1982]",U,Unauthorized,T,1980-05-22,1980-05-22,1980-10-16,1981-02-02,1980 FEDERAL INDEPENDENT CAMPAIGN COMMITTEE,M,Membership Organization,,,,[],IL,BERNICE FINKELMAN
,[],C00114819,X,Party - Nonqualified,"[1980, 1982]",U,Unauthorized,T,1979-10-24,1979-10-24,1979-12-10,1980-12-02,1980 GEORGIA SOCIALIST WORKERS CAMPAIGN,,,SWP,SOCIALIST WORKERS PARTY,,[],GA,JEFFREY ROGERS
,['S0IN00012'],C00135756,S,Senate,"[1980, 1982]",J,Joint fundraising committee,T,1980-09-16,1980-09-16,1980-09-16,1981-12-02,1980 GOP VICTORY DINNER COMMITTEE,,,,,,[],IN,LAWRENCE L BUELL
,[],C00115014,X,Party - Nonqualified,"[1980, 1982]",U,Unauthorized,T,1979-10-26,1979-10-26,1979-10-26,1981-05-08,1980 ILLINOIS SOCIALIST WORKERS CAMPAIGN,,,SWP,SOCIALIST WORKERS PARTY,,[],IL,ANDREW NAKRIN
ALLEGHENY CO DEMOCRATIC COMMITTEE,[],C00148072,X,Party - Nonqualified,[1982],J,Joint fundraising committee,T,1981-12-21,1981-10-14,1981-12-21,1982-03-24,1980 KENNEDY-LAWRENCE DINNER COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],PA,FREDERICK NEWMAN FRANK
NONE,[],C00136614,N,PAC - Nonqualified,"[1980, 1982]",U,Unauthorized,A,1980-10-07,1980-10-07,1980-10-07,1980-10-07,1980 OVERSEAS PROGRAM TO ELECT DEMOCRATS,M,Membership Organization,DEM,DEMOCRATIC PARTY,,[],ZZ,HARRY FITZGIBBONS
BLANK,[],C00134759,N,PAC - Nonqualified,"[1980, 1982]",U,Unauthorized,T,1980-08-27,1980-08-27,1980-08-27,1981-01-29,1980 PLAQUEMINES CAMPAIGN FUND COMMITTEE,M,Membership Organization,,,,[],LA,EDWARD J LILLY
,['P60000668'],C99002602,U,Single Candidate Independent Expenditure,"[1980, 1982, 1984]",U,Unauthorized,T,1980-07-21,1980-07-21,1980-07-21,1985-03-21,1980 REPUBLICAN PRESIDENTIAL CAMPAIGN COMMITTEE (FOR REAGAN),,,REP,REPUBLICAN PARTY,,[],FL,S LOUIS WIND
,"['P00000232', 'P00000406', 'P00000414', 'P00000430', 'P00000489', 'P60000668']",C00128306,P,Presidential,"[1980, 1982]",J,Joint fundraising committee,T,1980-05-16,1980-05-16,1980-06-20,1981-10-07,1980 REPUBLICAN PRESIDENTIAL UNITY CMTE,,,,,,[],DC,STAN HUCKABY
NRSC & NRCC,[],C00117788,Y,Party - Qualified,"[1980, 1982, 1984]",J,Joint fundraising committee,A,1979-12-21,1979-12-21,1980-01-22,1983-09-09,1980 REPUBLICAN SENATE-HOUSE DINNER,,,REP,REPUBLICAN PARTY,,[],DC,J MICHAEL REHWALDT
,[],C00116533,X,Party - Nonqualified,[1980],U,Unauthorized,T,1979-11-27,1979-11-27,1979-11-27,1981-01-20,1980 SAN FRANCISCO SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,,[],CA,RALPH P FORSYTH
,"['S4CA00019', 'S4ID00026', 'S6IN00084']",C00115691,S,Senate,"[1980, 1982]",A,Authorized by a candidate,T,1979-11-01,1979-11-01,1979-11-01,1980-01-30,1980 SENATE CAMPAIGN FUND,,,DEM,DEMOCRATIC PARTY,,[],MI,ROBERT H NAFTALY
NONE,[],C00113480,X,Party - Nonqualified,"[1980, 1982]",U,Unauthorized,T,1979-09-17,1979-09-17,1980-11-10,1981-09-28,1980 SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,SWP,SOCIALIST WORKERS PARTY,,[],MN,RICHARD STUART
,"['P00000232', 'P00000414', 'P00000430', 'P00000489']",C00128272,P,Presidential,"[1980, 1982]",J,Joint fundraising committee,T,1980-05-16,1980-05-16,1980-05-16,1981-03-16,1980 UNITED REPUBLICAN COMMITTEE,,,REP,REPUBLICAN PARTY,,[],DC,STAN HUCKABY
,"['S0AK00063', 'S0AL00016', 'S0FL00015', 'S0FL00155', 'S0GA00021', 'S0IA00028', 'S0NC00020', 'S0NH00037', 'S0SD00054', 'S0WA00019', 'S6PA00100']",C00138735,S,Senate,"[1980, 1982]",J,Joint fundraising committee,T,1980-11-26,1980-11-26,1980-11-26,1981-12-02,1980 VICTORY COMMITTEE,,,REP,REPUBLICAN PARTY,,[],DC,RODNEY SMITH
,['H0CA01015'],C00140053,H,House,"[1980, 1982]",A,Authorized by a candidate,T,1980-12-16,1980-12-16,1981-01-28,1981-01-28,1980 VICTORY FUND - FEDERAL,,,,,,[],CA,JOHN H HODGSON II
STATE DEMOCRATIC EXECUTIVE COMMITTEE,[],C00133116,Y,Party - Qualified,"[1980, 1982]",U,Unauthorized,T,1980-08-12,1980-08-12,1980-09-09,1981-06-01,1980 VOTER REGISTRATION AND GOTV COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],AL,DICK HUMPHREY
NRCC  NRSC,[],C00139824,Y,Party - Qualified,"[1980, 1982]",J,Joint fundraising committee,T,1981-01-22,1981-01-22,1981-01-22,1982-01-22,1981 REPUBLICAN SENATE HOUSE DINNER,,,REP,REPUBLICAN PARTY,,[],DC,RODNEY A SMITH
INDEP VOTERS OF IL-INDEP PRECINCT ORG,[],C00163683,N,PAC - Nonqualified,[1982],U,Unauthorized,A,1982-11-02,1982-11-02,1982-11-02,1982-12-23,1982 FEDERAL INDEPENDENT CAMPAIGN COMMITTEE,M,Membership Organization,,,,[],IL,CHARLES V SCHLESINGER
REP EXECUTIVE COMMITTEE/JEFFERSON CNTY,[],C00147892,X,Party - Nonqualified,[1982],U,Unauthorized,T,1981-12-21,1981-12-21,1981-12-21,1982-04-12,1982 INAUGURAL COMMITTEE,,,REP,REPUBLICAN PARTY,,[],KY,LINDA BLUE
SOCIALIST WORKERS PARTY,[],C00158907,N,PAC - Nonqualified,[1982],U,Unauthorized,A,1982-07-17,1982-07-17,1982-10-12,1982-10-12,1982 MINNESOTA SOCIALIST WORKERS CAMPAIGN COMMITTEE,M,Membership Organization,SWP,SOCIALIST WORKERS PARTY,,[],MN,BARBARA SIMONS
NRSC & NRCC,[],C00147801,Y,Party - Qualified,"[1982, 1984]",J,Joint fundraising committee,T,1981-12-15,1981-12-15,1982-01-18,1983-08-09,1982 REPUBLICAN SENATE-HOUSE DINNER,,,REP,REPUBLICAN PARTY,,[],DC,WYATT A STEWART III
,[],C00159731,S,Senate,"[1982, 1984]",P,Principal campaign committee,T,1982-07-23,1982-07-23,1982-07-23,1983-08-17,1982 SOCIALIST WORKERS CAMPAIGN COMMITTEE FOR BILL HOVLAND FOR U S SENATE,,,SWP,SOCIALIST WORKERS PARTY,,[],WV,LAWRENCE WILLIAM BOYD
,[],C00163634,X,Party - Nonqualified,"[1982, 1984, 1986]",U,Unauthorized,A,1982-11-01,1982-11-01,1984-11-06,1984-11-06,1982 ST LOUIS DEMOCRATIC CITY CENTRAL COMM CAMPAIGN FUND,,,DEM,DEMOCRATIC PARTY,,[],MO,JAMES W MURPHY
NATIONAL REPUBLICAN SENATORIAL CMTE,[],C00165571,Y,Party - Qualified,"[1982, 1984]",J,Joint fundraising committee,T,1983-02-07,1983-02-07,1983-02-07,1984-07-02,1983 REPUBLICAN SENATE-HOUSE DINNER COMMITTEE,,,REP,REPUBLICAN PARTY,,[],DC,WYATT A STEWART III
DNC SERVICES CORP/DEM NAT'L CMTE,[],C00167767,Y,Party - Qualified,"[1984, 1986]",U,Unauthorized,T,1983-06-09,1983-06-09,1985-03-04,1986-08-08,1984 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC,,,DEM,DEMOCRATIC PARTY,,[],DC,PAUL G KIRK JR
,['H4IL01022'],C00175877,H,House,"[1984, 1986, 1988, 1990, 1992]",A,Authorized by a candidate,T,1984-01-24,1984-01-24,1986-03-24,1992-05-01,1984 HAYES FOR CONGRESS COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],IL,JAMES L WRIGHT
NONE,[],C00180976,N,PAC - Nonqualified,"[1984, 1986, 1988]",U,Unauthorized,T,1984-03-29,1984-03-29,1984-10-03,1987-09-08,1984 ILLINOIS SOCIALIST WORKERS CAMPAIGN,M,Membership Organization,,,,[],IL,NANCY COHEN
NONE,[],C00181081,N,PAC - Nonqualified,"[1984, 1986]",U,Unauthorized,T,1984-03-30,1984-03-30,1984-03-30,1985-01-18,1984 MINNESOTA SOCIALIST WORKERS CAMPAIGN COMMITTEE,M,Membership Organization,,,,[],MN,WILLIAM F JUNGERS
NONE,[],C00187336,N,PAC - Nonqualified,[1984],U,Unauthorized,T,1984-07-12,1984-07-12,1984-07-12,1984-12-10,1984 OREGON SOCIALIST WORKERS CAMPAIGN,M,Membership Organization,,,,[],OR,REBECCA ELLIS
,['P60000668'],C00185868,U,Single Candidate Independent Expenditure,[1984],U,Unauthorized,T,1984-06-07,1984-06-07,1984-06-07,1984-10-18,1984 PRESIDENTIAL RE-ELECTION COMMITTEE,,,,,,[],NY,DAVID TEVI TROY
,['H6NJ08035'],C00166702,H,House,"[1984, 1986]",A,Authorized by a candidate,T,1983-04-12,1983-04-12,1983-04-12,1985-11-29,1984 RE-ELECT ROE TO CONGRESS COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],NJ,ARTHUR M ZUCKERMAN
